
Datum;Kl;NO;NO2;NOx;CO;CO2;PM10
2024-06-01;15:00:00;1.33148;4.41086;6.44535;0.205989;386.184;22.9944
2024-06-01;15:15:00;1.17563;3.6046;5.40096;0.219721;386.689;21.3577
2024-06-01;15:30:00;0.956479;4.77192;6.23342;0.208448;387.282;22.0154
2024-06-01;15:45:00;1.00324;4.04209;5.57504;0.192647;387.125;14.754
2024-06-01;16:00:00;1.94668;3.54116;6.51569;0.206997;386.939;22.7324
2024-06-01;16:15:00;0.460465;4.17472;4.87831;0.204198;387.331;25.2328
2024-06-01;16:30:00;1.10603;4.58527;6.27528;0.20068;386.721;27.839
2024-06-01;16:45:00;0.649978;3.55246;4.54562;0.208182;384.396;27.3957
2024-06-01;17:00:00;1.60438;5.89075;8.34224;0.219023;385.228;23.6547
2024-06-01;17:15:00;1.39109;4.77808;6.90366;0.224884;385.624;18.405
2024-06-01;17:30:00;1.75001;4.78059;7.45461;0.208053;385.118;22.3749
2024-06-01;17:45:00;1.27736;5.32151;7.27332;0.248345;386.193;31.353
2024-06-01;18:00:00;1.44978;8.19594;10.4112;0.261885;387.04;30.7113
2024-06-01;18:15:00;1.99458;7.76099;10.8087;0.292313;388.561;30.3199
2024-06-01;18:30:00;1.41527;8.97023;11.1328;0.249874;387.999;25.8118
2024-06-01;18:45:00;1.75251;14.6577;17.3355;0.31227;391.07;32.0413
2024-06-01;19:00:00;1.72368;11.4807;14.1144;0.264349;387.281;27.5493
2024-06-01;19:15:00;1.00426;9.77373;11.3082;0.311981;390.994;27.3232
2024-06-01;19:30:00;1.18367;5.59144;7.40009;0.309928;390.249;25.5635
2024-06-01;19:45:00;0.48415;3.76036;4.50014;0.267353;387.001;17.9713
2024-06-01;20:00:00;1.33389;3.00942;5.04761;0.252549;386.177;25.5506
2024-06-01;20:15:00;0.728166;5.41668;6.52931;0.251082;386.888;28.2523
2024-06-01;20:30:00;0.84511;5.07949;6.37082;0.232147;386.501;18.8622
2024-06-01;20:45:00;1.49134;3.48702;5.76578;0.235016;387.546;21.1267
2024-06-01;21:00:00;0.779429;3.56018;4.75115;0.257008;386.766;20.6561
2024-06-01;21:15:00;1.08239;3.61884;5.27274;0.26904;387.258;20.9687
2024-06-01;21:30:00;1.21573;4.51669;6.37433;0.236015;389.5;20.3085
2024-06-01;21:45:00;1.54469;5.82147;8.18176;0.262311;396.253;22.7059
2024-06-01;22:00:00;1.52221;7.56524;9.89119;0.260098;396.552;24.1072
